model_id,split,unit_type,unit_id,score_name,score,label
M39,test,cycle,101_1b1_Al_sc_Meditron__0,crackle_score,0.9162984746,0
M39,test,cycle,101_1b1_Al_sc_Meditron__1,crackle_score,1,0
M39,test,cycle,101_1b1_Al_sc_Meditron__2,crackle_score,1,0
M39,test,cycle,101_1b1_Al_sc_Meditron__3,crackle_score,1,0
M39,test,cycle,101_1b1_Al_sc_Meditron__4,crackle_score,1,0
M39,test,cycle,101_1b1_Al_sc_Meditron__5,crackle_score,1,0
M39,test,cycle,101_1b1_Al_sc_Meditron__6,crackle_score,1,0
M39,test,cycle,101_1b1_Al_sc_Meditron__7,crackle_score,1,0
M39,test,cycle,101_1b1_Al_sc_Meditron__8,crackle_score,0.9580594473,0
M39,test,cycle,101_1b1_Al_sc_Meditron__9,crackle_score,0.9806310338,0
M39,test,cycle,101_1b1_Al_sc_Meditron__10,crackle_score,0.9794362008,0
M39,test,cycle,101_1b1_Al_sc_Meditron__11,crackle_score,0.8754854997,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__0,crackle_score,0.6929367287,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__1,crackle_score,0.6393788763,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__2,crackle_score,0.7436250273,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__3,crackle_score,0.7361266485,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__4,crackle_score,0.5413867582,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__5,crackle_score,0.530193252,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__6,crackle_score,0.5201104491,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__7,crackle_score,0.3141766405,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__8,crackle_score,0.3636013427,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__9,crackle_score,0.7806855194,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__10,crackle_score,0.5277234765,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__0,crackle_score,0.8476076688,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__1,crackle_score,0.6481388435,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__2,crackle_score,0.6978463142,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__3,crackle_score,0.7576502016,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__4,crackle_score,0.6661891459,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__5,crackle_score,0.7319083302,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__6,crackle_score,0.6669899073,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__7,crackle_score,0.7785963046,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__8,crackle_score,0.906640785,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__9,crackle_score,0.6163535857,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__10,crackle_score,0.6386213055,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__11,crackle_score,0.6813821038,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__12,crackle_score,0.05487841558,0
M39,test,cycle,104_1b1_Al_sc_Litt3200__0,crackle_score,0.7663736556,0
